Indicator Code: CG1570
"Indicator Name: Self-inflicted injuries"
Export date: 11/17/2025 2:09:30 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: X60-X84, Y870"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,LKA,Sri Lanka,2000,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,LKA,Sri Lanka,2000,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
AS,Asia,LKA,Sri Lanka,2000,All,Age05_09,[5-9],4.00000000,0.46674446,,0.24218866,
AS,Asia,LKA,Sri Lanka,2000,All,Age10_14,[10-14],44.00000000,5.84329349,,2.54239002,
AS,Asia,LKA,Sri Lanka,2000,All,Age15_19,[15-19],490.00000000,21.09341369,,26.32372052,
AS,Asia,LKA,Sri Lanka,2000,All,Age20_24,[20-24],629.00000000,16.44444444,,36.35550248,
AS,Asia,LKA,Sri Lanka,2000,All,Age25_29,[25-29],592.00000000,17.20430108,,39.62103020,
AS,Asia,LKA,Sri Lanka,2000,All,Age30_34,[30-34],569.00000000,17.02573309,,38.83063157,
AS,Asia,LKA,Sri Lanka,2000,All,Age35_39,[35-39],579.00000000,15.18091243,,41.84372561,
AS,Asia,LKA,Sri Lanka,2000,All,Age40_44,[40-44],452.00000000,10.03329634,,34.95924773,
AS,Asia,LKA,Sri Lanka,2000,All,Age45_49,[45-49],450.00000000,8.00854245,,41.62207709,
AS,Asia,LKA,Sri Lanka,2000,All,Age50_54,[50-54],349.00000000,4.93425703,,36.10814233,
AS,Asia,LKA,Sri Lanka,2000,All,Age55_59,[55-59],297.00000000,4.03752039,,40.11453578,
AS,Asia,LKA,Sri Lanka,2000,All,Age60_64,[60-64],214.00000000,2.51912890,,37.52279422,
AS,Asia,LKA,Sri Lanka,2000,All,Age65_69,[65-69],180.00000000,1.67224080,,41.34196002,
AS,Asia,LKA,Sri Lanka,2000,All,Age70_74,[70-74],163.00000000,1.22574823,,50.19060112,
AS,Asia,LKA,Sri Lanka,2000,All,Age75_79,[75-79],109.00000000,0.93658704,,50.64679206,
AS,Asia,LKA,Sri Lanka,2000,All,Age80_84,[80-84],75.00000000,0.69380204,,63.51034372,
AS,Asia,LKA,Sri Lanka,2000,All,Age85_over,[85+],56.00000000,0.44384561,,75.23039308,
AS,Asia,LKA,Sri Lanka,2001,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,LKA,Sri Lanka,2001,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
AS,Asia,LKA,Sri Lanka,2001,All,Age05_09,[5-9],2.00000000,0.27816412,,0.12196386,
AS,Asia,LKA,Sri Lanka,2001,All,Age10_14,[10-14],31.00000000,4.32357043,,1.82405088,
AS,Asia,LKA,Sri Lanka,2001,All,Age15_19,[15-19],372.00000000,21.81818182,,20.27467829,
AS,Asia,LKA,Sri Lanka,2001,All,Age20_24,[20-24],530.00000000,17.66077974,,30.19607508,
AS,Asia,LKA,Sri Lanka,2001,All,Age25_29,[25-29],488.00000000,17.57292042,,32.21190151,
AS,Asia,LKA,Sri Lanka,2001,All,Age30_34,[30-34],491.00000000,17.43607955,,33.66904087,
AS,Asia,LKA,Sri Lanka,2001,All,Age35_39,[35-39],509.00000000,14.30177016,,36.61135643,
AS,Asia,LKA,Sri Lanka,2001,All,Age40_44,[40-44],428.00000000,9.68764147,,32.63871837,
AS,Asia,LKA,Sri Lanka,2001,All,Age45_49,[45-49],420.00000000,7.90216369,,37.85226262,
AS,Asia,LKA,Sri Lanka,2001,All,Age50_54,[50-54],355.00000000,4.92440006,,35.90286606,
AS,Asia,LKA,Sri Lanka,2001,All,Age55_59,[55-59],276.00000000,3.77461707,,35.58539916,
AS,Asia,LKA,Sri Lanka,2001,All,Age60_64,[60-64],165.00000000,1.93163194,,28.11731567,
